country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations,daily_vaccinations_smoothed,daily_people_vaccinated_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_people_vaccinated_smoothed_per_hundred,daily_vaccinations_smoothed_per_million,people_unvaccinated,share_of_boosters,total_vaccinations_interpolated,people_vaccinated_interpolated,people_fully_vaccinated_interpolated,total_boosters_interpolated,total_vaccinations_no_boosters_interpolated,total_vaccinations_no_boosters_per_hundred_interpolated,rolling_vaccinations_6m,rolling_vaccinations_6m_per_hundred,rolling_vaccinations_9m,rolling_vaccinations_9m_per_hundred,rolling_vaccinations_12m,rolling_vaccinations_12m_per_hundred
Afghanistan,22-02-2021,0,0,,,,,,0,0,,,,,39671219.61,,0,0,55624,0,0,,,,,,,
Afghanistan,23-02-2021,,,,,,1366.666667,1366.666667,,,,,0.003367929,33.67928863,,,1366.666667,1366.666667,55624,0,1366.666667,,1366.666667,0.003367929,1366.666667,0.003367929,1366.666667,0.003367929
Afghanistan,24-02-2021,,,,,,1366.666667,1366.666667,,,,,0.003367929,33.67928863,,,2733.333333,2733.333333,55624,0,2733.333333,,2733.333333,0.006735858,2733.333333,0.006735858,2733.333333,0.006735858
Afghanistan,25-02-2021,,,,,,1366.666667,1366.666667,,,,,0.003367929,33.67928863,,,4100,4100,55624,0,4100,,4100,0.010103787,4100,0.010103787,4100,0.010103787
Afghanistan,26-02-2021,,,,,,1366.666667,1366.666667,,,,,0.003367929,33.67928863,,,5466.666667,5466.666667,55624,0,5466.666667,,5466.666667,0.013471715,5466.666667,0.013471715,5466.666667,0.013471715
Afghanistan,27-02-2021,,,,,,1366.666667,1366.666667,,,,,0.003367929,33.67928863,,,6833.333333,6833.333333,55624,0,6833.333333,,6833.333333,0.016839644,6833.333333,0.016839644,6833.333333,0.016839644
Afghanistan,28-02-2021,8200,8200,,,,1366.666667,1366.666667,0.020207573,0.020207573,,,0.003367929,33.67928863,39678330.84,,8200,8200,55624,0,8200,,8200,0.020207573,8200,0.020207573,8200,0.020207573
Afghanistan,01-03-2021,,,,,,1580.357143,1580.357143,,,,,0.003894534,38.94534465,,,11062.5,11062.5,55624,0,11062.5,,11062.5,0.027261741,11062.5,0.027261741,11062.5,0.027261741
Afghanistan,02-03-2021,,,,,,1794.047619,1794.047619,,,,,0.00442114,44.21140067,,,13925,13925,55624,0,13925,,13925,0.034315909,13925,0.034315909,13925,0.034315909
Afghanistan,03-03-2021,,,,,,2007.738095,2007.738095,,,,,0.004947746,49.47745668,,,16787.5,16787.5,55624,0,16787.5,,16787.5,0.041370077,16787.5,0.041370077,16787.5,0.041370077
Afghanistan,04-03-2021,,,,,,2221.428571,2221.428571,,,,,0.005474351,54.7435127,,,19650,19650,55624,0,19650,,19650,0.048424245,19650,0.048424245,19650,0.048424245
Afghanistan,05-03-2021,,,,,,2435.119048,2435.119048,,,,,0.006000957,60.00956872,,,22512.5,22512.5,55624,0,22512.5,,22512.5,0.055478414,22512.5,0.055478414,22512.5,0.055478414
Afghanistan,06-03-2021,,,,,,2648.809524,2648.809524,,,,,0.006527562,65.27562474,,,25375,25375,55624,0,25375,,25375,0.062532582,25375,0.062532582,25375,0.062532582
Afghanistan,07-03-2021,,,,,,2862.5,2862.5,,,,,0.007054168,70.54168076,,,28237.5,28237.5,55624,0,28237.5,,28237.5,0.06958675,28237.5,0.06958675,28237.5,0.06958675
Afghanistan,08-03-2021,,,,,,2862.5,2862.5,,,,,0.007054168,70.54168076,,,31100,31100,55624,0,31100,,31100,0.076640918,31100,0.076640918,31100,0.076640918
Afghanistan,09-03-2021,,,,,,2862.5,2862.5,,,,,0.007054168,70.54168076,,,33962.5,33962.5,55624,0,33962.5,,33962.5,0.083695086,33962.5,0.083695086,33962.5,0.083695086
Afghanistan,10-03-2021,,,,,,2862.5,2862.5,,,,,0.007054168,70.54168076,,,36825,36825,55624,0,36825,,36825,0.090749254,36825,0.090749254,36825,0.090749254
Afghanistan,11-03-2021,,,,,,2862.5,2862.5,,,,,0.007054168,70.54168076,,,39687.5,39687.5,55624,0,39687.5,,39687.5,0.097803422,39687.5,0.097803422,39687.5,0.097803422
Afghanistan,12-03-2021,,,,,,2862.5,2862.5,,,,,0.007054168,70.54168076,,,42550,42550,55624,0,42550,,42550,0.10485759,42550,0.10485759,42550,0.10485759
Afghanistan,13-03-2021,,,,,,2862.5,2862.5,,,,,0.007054168,70.54168076,,,45412.5,45412.5,55624,0,45412.5,,45412.5,0.111911758,45412.5,0.111911758,45412.5,0.111911758
